Date,Open,High,Low,Close,Volume
32,7.70,7.73,7.56,7.59,104700781
31,7.64,7.73,7.60,7.68,73700000
30,7.76,7.76,7.59,7.61,12312313
29,7.70,8,7.64,7.75,218944346
28,7.69,8,7.64,7.78,218944346
27,7.55,7.73,7.5,7.69,110619617
26,7.5,7.61,7.41,7.54,93130720
25,7.49,7.69,7.45,7.5,133242227
24,7.41,7.54,7.35,7.53,92058930
23,7.24,7.5,7.24,7.4,127986863
22,7.25,7.26,7.2,7.23,49671859
21,7.3,7.32,7.21,7.24,75339858
20,7.24,7.4,7.21,7.27,115759107
19,7.09,7.25,7.07,7.24,108237036
18,6.98,7.11,6.97,7.08,103060405
17,6.99,7.02,6.92,6.96,62119654
16,7.05,7.14,6.97,7,84307029
15,6.93,7.04,6.89,7.03,64243118
14,6.98,6.98,6.92,6.93,61682833
13,6.99,7.02,6.86,6.99,101398975
12,7,7.02,6.97,7,70002444
11,7.12,7.13,6.95,7.04,97026520
10,7.14,7.19,7.07,7.14,81167895
9,7,7.19,6.98,7.15,134355691
8,6.95,7.03,6.92,7.01,57495477
7,7.14,7.14,6.97,6.98,98208889
6,7.11,7.15,7.09,7.14,63390499
5,7.09,7.17,7.07,7.14,95347712
4,7.16,7.16,7.04,7.1,81601943
3,7.26,7.27,7.09,7.18,135886354
2,7.33,7.37,7.13,7.31,95742918
1,7.37,7.51,7.22,7.34,165959693
